id,name,lat,lon,type,alt
1917,Est. La Iberia,-32.872861,-56.283944,PluvConv,118.0000000000084
1818,Est. Las Cañadas,-32.569389,-56.630639,PluvConv,114.5
1688,Est. M.J.Quadros,-32.372806,-56.391611,PluvConv,151.50000000002598
1867,Est. Olazo,-32.717361,-56.456528,PluvConv,119.00000000006789
1817,Est. Rolón - Piquet,-32.675167,-56.897944,PluvConv,126.49999999997448
1961,Est. S. Real,-32.946556,-56.628028,PluvConv,99.49999999999162
2108,Feliciano,-33.186444,-56.808694,PluvConv,75.50000000003303
1793,Fraile Muerto,-32.512056,-54.523639,PluvConv,134.0
2301,Goñi,-33.519167,-56.413472,PluvConv,122.0
1417,Hospital,-31.656611,-54.622444,PluvConv,136.50000000002643
1308,La Calera,-31.394,-55.394444,PluvConv,175.5
1565,La Hilera,-32.077972,-55.659806,PluvConv,105.50000000002646
2198,La Laguna,-33.203278,-57.575639,PluvConv,64.500000000033
1875,La Paloma,-32.730139,-55.5745,PluvConv,156.0
1312,La Puente,-31.468,-54.9615,PluvConv,185.00000000001603
1882,Laguna del Junco,-32.72825,-54.90225,PluvConv,238.0
1909,Las Flores Greco,-32.817833,-57.043333,PluvConv,125.00000000002532
22222,Los Tapes,-33.18575,-56.808556,PluvConv,74.50000000000826
1403,Luján,-31.65425,-56.152028,PluvConv,153.99999999998943
1580,Mangrullo,-32.098583,-54.048278,PluvConv,164.5
2357,Mansavillagra,-33.617778,-55.470806,PluvConv,206.00000000004027
2154,Marincho,-33.384417,-57.163583,PluvConv,114.00000000000001
1683,Merinos,-32.396472,-56.914417,PluvConv,162.49999999998266
1374,Minas de Corrales,-31.573222,-55.473778,PluvConv,169.49999999995748
1379,Moirones,-31.602639,-54.976111,PluvConv,199.49999999999469
2266,Nico Perez,-33.480639,-55.153083,PluvConv,286.49999999995134
1662,Palleros,-32.078083,-54.484917,PluvConv,138.49999999999116
2289,Palmitas,-33.507639,-57.798278,PluvConv,93.0
2351,Pantanoso,-33.527389,-55.955833,PluvConv,114.49999999995953
1224,Paso Ataques,-31.201083,-55.362194,PluvConv,186.4999999999728
1766,Paso de la Cruz,-32.52375,-57.16025,PluvConv,74.50000000001717
1370,Paso de las Carretas,-31.590444,-56.072306,PluvConv,215.9999999999469
1495,Paso de las Yeguas,-31.913278,-54.309194,PluvConv,155.4999999999896
1840,Paso de los Carros,-32.565083,-54.373361,PluvConv,146.00000000000858
1605,Paso de los Cuadrados,-32.167778,-55.947139,PluvConv,121.5000000000351
1768,Paso de los Mellizos,-33.331667,-57.711667,PluvConv,57.000000000024556
2107,Paso del Bote,-33.170583,-56.844389,PluvConv,68.99999999998346
1301,Paso del Medio,-31.45675,-56.072222,PluvConv,188.99999999995717
1692,Paso Hondo,-32.286583,-55.840306,PluvConv,112.99999999993905
1784,Paso Ramírez,-32.537194,-55.502861,PluvConv,130.0
1732,Peralta,-32.494444,-56.355056,PluvConv,169.5000000000258
2486,Pintos,-33.878972,-56.757194,PluvConv,122.99999999996828
2204,Porongos - Aviación,-33.493389,-56.897528,PluvConv,130.49999999994324
1537,Pueblo Noblia,-31.955917,-54.123667,PluvConv,134.0
1528,Puntas de Cinco Sauces,-31.954972,-55.039056,PluvConv,184.4999999999896
2349,Puntas de Maciel,-33.622694,-56.362278,PluvConv,138.0000000000161
2436,Puntas del Sauce,-33.829583,-57.016167,PluvConv,173.00000000000796
1884,Quebracho,-32.602611,-54.721361,PluvConv,134.0000000000342
